issuenumber,resolution_time,room,configuration
12356,21270,angular,Gitter
12360,348,angular,Gitter
12363,2022,angular,Gitter
12369,150,angular,Gitter
12378,NA,angular,Gitter
12387,545,angular,Gitter
12398,NA,angular,Gitter
12409,NA,angular,Gitter
12411,15964,angular,Gitter
12423,2098,angular,Gitter
12428,84,angular,Gitter
12442,461,angular,Gitter
12446,241,angular,Gitter
12455,14,angular,Gitter
12463,2666,angular,Gitter
12480,2,angular,Gitter
12495,2445,angular,Gitter
12500,1,angular,Gitter
12505,773,angular,Gitter
12520,0,angular,Gitter
12522,NA,angular,Gitter
12530,NA,angular,Gitter
12532,815,angular,Gitter
12536,1,angular,Gitter
12537,1,angular,Gitter
12540,NA,angular,Gitter
12583,94,angular,Gitter
12597,9383,angular,Gitter
12631,3238,angular,Gitter
12638,9594,angular,Gitter
12681,153,angular,Gitter
12688,NA,angular,Gitter
12691,NA,angular,Gitter
12709,2122,angular,Gitter
12716,NA,angular,Gitter
12730,58,angular,Gitter
12733,46,angular,Gitter
12737,8,angular,Gitter
12740,271,angular,Gitter
12743,26,angular,Gitter
12750,10,angular,Gitter
12758,NA,angular,Gitter
12768,4,angular,Gitter
12787,1145,angular,Gitter
12810,182,angular,Gitter
12816,4035,angular,Gitter
12818,NA,angular,Gitter
12838,3581,angular,Gitter
12842,NA,angular,Gitter
12851,454,angular,Gitter
12857,NA,angular,Gitter
12865,NA,angular,Gitter
12869,2882,angular,Gitter
12889,2866,angular,Gitter
12890,26,angular,Gitter
12904,NA,angular,Gitter
12909,1,angular,Gitter
12917,315,angular,Gitter
12920,1,angular,Gitter
12924,4366,angular,Gitter
12930,1,angular,Gitter
12940,0,angular,Gitter
12942,1323,angular,Gitter
12963,2027,angular,Gitter
12966,592,angular,Gitter
12970,109,angular,Gitter
12971,1,angular,Gitter
12978,1,angular,Gitter
12980,91,angular,Gitter
13006,NA,angular,Gitter
13030,NA,angular,Gitter
13059,227,angular,Gitter
13061,385,angular,Gitter
13075,9369,angular,Gitter
13078,53,angular,Gitter
13089,414,angular,Gitter
13098,NA,angular,Gitter
13138,NA,angular,Gitter
13146,23,angular,Gitter
13159,2406,angular,Gitter
13192,112,angular,Gitter
13200,24483,angular,Gitter
13205,NA,angular,Gitter
13214,1046,angular,Gitter
13218,NA,angular,Gitter
13243,NA,angular,Gitter
13248,NA,angular,Gitter
13260,NA,angular,Gitter
13265,13,angular,Gitter
13279,13,angular,Gitter
13285,1,angular,Gitter
13301,14,angular,Gitter
13303,157,angular,Gitter
13340,7649,angular,Gitter
13348,121,angular,Gitter
13360,2919,angular,Gitter
13361,NA,angular,Gitter
13373,NA,angular,Gitter
13388,213,angular,Gitter
13407,5712,angular,Gitter
13423,4,angular,Gitter
13434,386,angular,Gitter
13438,30,angular,Gitter
13446,NA,angular,Gitter
13461,NA,angular,Gitter
13479,169,angular,Gitter
13484,313,angular,Gitter
13518,4,angular,Gitter
13521,10,angular,Gitter
13530,1054,angular,Gitter
13539,68,angular,Gitter
13562,355,angular,Gitter
13569,NA,angular,Gitter
13576,21,angular,Gitter
13586,NA,angular,Gitter
13590,NA,angular,Gitter
13609,1973,angular,Gitter
13631,32,angular,Gitter
13636,12801,angular,Gitter
13640,2,angular,Gitter
13650,335,angular,Gitter
13681,35,angular,Gitter
13682,2,angular,Gitter
13715,1533,angular,Gitter
13725,14057,angular,Gitter
13754,8426,angular,Gitter
13761,NA,angular,Gitter
13766,NA,angular,Gitter
13776,NA,angular,Gitter
13788,NA,angular,Gitter
13790,12,angular,Gitter
13792,NA,angular,Gitter
13804,186,angular,Gitter
13807,10,angular,Gitter
13818,2176,angular,Gitter
13820,2321,angular,Gitter
13822,1487,angular,Gitter
13829,203,angular,Gitter
13840,35,angular,Gitter
13854,NA,angular,Gitter
13855,NA,angular,Gitter
13858,0,angular,Gitter
13860,530,angular,Gitter
13865,NA,angular,Gitter
13869,3929,angular,Gitter
13873,NA,angular,Gitter
13914,52,angular,Gitter
13921,0,angular,Gitter
13939,7,angular,Gitter
13954,2013,angular,Gitter
13984,1972,angular,Gitter
14005,143,angular,Gitter
14013,1470,angular,Gitter
14028,103,angular,Gitter
14033,NA,angular,Gitter
14050,1,angular,Gitter
14083,170,angular,Gitter
14087,177,angular,Gitter
14100,152,angular,Gitter
14105,7877,angular,Gitter
14128,11759,angular,Gitter
14137,7830,angular,Gitter
14163,1742,angular,Gitter
14171,NA,angular,Gitter
14187,NA,angular,Gitter
14191,NA,angular,Gitter
14210,0,angular,Gitter
14228,14,angular,Gitter
14252,18449,angular,Gitter
14267,413,angular,Gitter
14292,3696,angular,Gitter
14298,954,angular,Gitter
14324,NA,angular,Gitter
14339,67,angular,Gitter
14355,247,angular,Gitter
14375,668,angular,Gitter
14376,NA,angular,Gitter
14404,7489,angular,Gitter
14446,1358,angular,Gitter
14450,0,angular,Gitter
14459,18048,angular,Gitter
14475,925,angular,Gitter
14479,NA,angular,Gitter
14515,NA,angular,Gitter
14545,NA,angular,Gitter
14549,NA,angular,Gitter
14588,215,angular,Gitter
14593,6,angular,Gitter
14594,57,angular,Gitter
14615,39,angular,Gitter
14618,23,angular,Gitter
14619,3715,angular,Gitter
14656,NA,angular,Gitter
14707,NA,angular,Gitter
14710,NA,angular,Gitter
14713,1,angular,Gitter
14730,107,angular,Gitter
14733,1,angular,Gitter
14748,367,angular,Gitter
14761,NA,angular,Gitter
14774,360,angular,Gitter
14780,86,angular,Gitter
14781,2,angular,Gitter
14782,171,angular,Gitter
14795,11,angular,Gitter
14796,370,angular,Gitter
14797,350,angular,Gitter
14802,4608,angular,Gitter
14813,454,angular,Gitter
14842,NA,angular,Gitter
14846,3,angular,Gitter
14865,512,angular,Gitter
14892,84,angular,Gitter
14908,NA,angular,Gitter
14918,0,angular,Gitter
14935,NA,angular,Gitter
14944,515,angular,Gitter
14948,368,angular,Gitter
14981,NA,angular,Gitter
14993,6783,angular,Gitter
14997,905,angular,Gitter
15004,NA,angular,Gitter
15020,147,angular,Gitter
15033,6845,angular,Gitter
15039,4,angular,Gitter
15052,6505,angular,Gitter
15053,6841,angular,Gitter
15067,NA,angular,Gitter
15075,NA,angular,Gitter
15079,263,angular,Gitter
15115,102,angular,Gitter
15127,NA,angular,Gitter
15165,21,angular,Gitter
15188,NA,angular,Gitter
15230,4,angular,Gitter
15241,100,angular,Gitter
15261,18,angular,Gitter
15264,NA,angular,Gitter
15275,NA,angular,Gitter
15280,NA,angular,Gitter
15281,21654,angular,Gitter
15282,NA,angular,Gitter
15291,7,angular,Gitter
15294,NA,angular,Gitter
15304,NA,angular,Gitter
15360,NA,angular,Gitter
15369,43,angular,Gitter
15373,6,angular,Gitter
15376,NA,angular,Gitter
15402,139,angular,Gitter
15404,18,angular,Gitter
15416,10046,angular,Gitter
15423,1,angular,Gitter
15447,6490,angular,Gitter
15451,0,angular,Gitter
15454,6,angular,Gitter
15473,46,angular,Gitter
15501,4759,angular,Gitter
15507,3729,angular,Gitter
15546,NA,angular,Gitter
15548,1,angular,Gitter
15579,123,angular,Gitter
15586,NA,angular,Gitter
15619,0,angular,Gitter
15634,NA,angular,Gitter
15640,NA,angular,Gitter
15663,6,angular,Gitter
15666,11,angular,Gitter
15670,2814,angular,Gitter
15674,1,angular,Gitter
15709,39,angular,Gitter
15715,529,angular,Gitter
15716,1061,angular,Gitter
15728,8935,angular,Gitter
15738,288,angular,Gitter
15741,NA,angular,Gitter
15748,158,angular,Gitter
15753,NA,angular,Gitter
15763,16,angular,Gitter
15797,3077,angular,Gitter
15821,33,angular,Gitter
15822,154,angular,Gitter
15825,248,angular,Gitter
15833,NA,angular,Gitter
15861,1,angular,Gitter
15890,12174,angular,Gitter
15995,2807,angular,Gitter
16023,601,angular,Gitter
16051,NA,angular,Gitter
16134,95,angular,Gitter
16151,NA,angular,Gitter
16157,8682,angular,Gitter
16166,0,angular,Gitter
16173,NA,angular,Gitter
16174,7083,angular,Gitter
16183,7516,angular,Gitter
16197,5675,angular,Gitter
16211,NA,angular,Gitter
16219,0,angular,Gitter
16240,4,angular,Gitter
16243,1,angular,Gitter
16282,NA,angular,Gitter
16283,6,angular,Gitter
16357,43,angular,Gitter
16364,220,angular,Gitter
16382,4989,angular,Gitter
16463,12,angular,Gitter
16472,32,angular,Gitter
16477,NA,angular,Gitter
16493,NA,angular,Gitter
16509,1,angular,Gitter
16538,NA,angular,Gitter
16539,0,angular,Gitter
16550,26,angular,Gitter
16553,9411,angular,Gitter
16566,NA,angular,Gitter
16613,12,angular,Gitter
16710,NA,angular,Gitter
16743,11,angular,Gitter
16797,103,angular,Gitter
16857,6361,angular,Gitter
16980,36,angular,Gitter
16981,NA,angular,Gitter
16985,NA,angular,Gitter
17119,0,angular,Gitter
17120,4610,angular,Gitter
17164,8740,angular,Gitter
17168,12276,angular,Gitter
17356,4981,angular,Gitter
17389,289,angular,Gitter
17404,NA,angular,Gitter
17420,915,angular,Gitter
17467,1159,angular,Gitter
17473,NA,angular,Gitter
17474,12574,angular,Gitter
17483,12066,angular,Gitter
17572,1515,angular,Gitter
17600,16,angular,Gitter
17623,18,angular,Gitter
17698,442,angular,Gitter
17736,1681,angular,Gitter
17757,5511,angular,Gitter
17759,359,angular,Gitter
17766,NA,angular,Gitter
17793,NA,angular,Gitter
17825,15421,angular,Gitter
17867,11,angular,Gitter
17877,251,angular,Gitter
17880,NA,angular,Gitter
17918,2,angular,Gitter
17957,19486,angular,Gitter
18012,1362,angular,Gitter
18015,NA,angular,Gitter
18029,533,angular,Gitter
18045,1,angular,Gitter
18071,30,angular,Gitter
18093,NA,angular,Gitter
18146,NA,angular,Gitter
18155,NA,angular,Gitter
18161,NA,angular,Gitter
18170,3580,angular,Gitter
18198,0,angular,Gitter
18206,NA,angular,Gitter
18221,14,angular,Gitter
18224,4672,angular,Gitter
18261,NA,angular,Gitter
18347,NA,angular,Gitter
18350,227,angular,Gitter
18366,3206,angular,Gitter
18374,NA,angular,Gitter
18394,93,angular,Gitter
18396,784,angular,Gitter
18454,NA,angular,Gitter
18509,NA,angular,Gitter
18523,5869,angular,Gitter
18562,7142,angular,Gitter
18567,2722,angular,Gitter
18585,8,angular,Gitter
18586,NA,angular,Gitter
18662,NA,angular,Gitter
18698,NA,angular,Gitter
18699,9,angular,Gitter
18740,331,angular,Gitter
18743,323,angular,Gitter
18748,NA,angular,Gitter
18775,8,angular,Gitter
18798,NA,angular,Gitter
18812,16005,angular,Gitter
18817,NA,angular,Gitter
18826,NA,angular,Gitter
18840,52,angular,Gitter
18854,NA,angular,Gitter
18860,6,angular,Gitter
18870,NA,angular,Gitter
18875,NA,angular,Gitter
18877,NA,angular,Gitter
18900,35,angular,Gitter
18917,NA,angular,Gitter
18922,1,angular,Gitter
18939,NA,angular,Gitter
18984,0,angular,Gitter
18985,18405,angular,Gitter
18991,2295,angular,Gitter
19019,2,angular,Gitter
19030,NA,angular,Gitter
19045,11,angular,Gitter
19056,21,angular,Gitter
19090,7565,angular,Gitter
19096,2,angular,Gitter
19103,982,angular,Gitter
19115,118,angular,Gitter
19119,NA,angular,Gitter
19163,10456,angular,Gitter
19219,86,angular,Gitter
19223,1798,angular,Gitter
19224,NA,angular,Gitter
19252,77,angular,Gitter
19278,6092,angular,Gitter
19319,4,angular,Gitter
19359,9,angular,Gitter
19364,8,angular,Gitter
19402,61,angular,Gitter
19413,1537,angular,Gitter
19420,5547,angular,Gitter
19465,NA,angular,Gitter
19473,NA,angular,Gitter
19476,1013,angular,Gitter
19481,1594,angular,Gitter
19504,23,angular,Gitter
19507,414,angular,Gitter
19534,1394,angular,Gitter
19538,25,angular,Gitter
19555,1348,angular,Gitter
19613,9,angular,Gitter
19628,1248,angular,Gitter
19656,1163,angular,Gitter
19712,3840,angular,Gitter
19790,2,angular,Gitter
19792,NA,angular,Gitter
19797,0,angular,Gitter
19816,NA,angular,Gitter
19859,458,angular,Gitter
19866,NA,angular,Gitter
19881,241,angular,Gitter
19899,160,angular,Gitter
19929,NA,angular,Gitter
19964,82,angular,Gitter
19974,NA,angular,Gitter
20000,NA,angular,Gitter
20007,NA,angular,Gitter
20076,195,angular,Gitter
20078,11897,angular,Gitter
20083,13,angular,Gitter
20091,1187,angular,Gitter
20101,31,angular,Gitter
20179,7216,angular,Gitter
20204,1,angular,Gitter
20209,14,angular,Gitter
20217,6,angular,Gitter
20237,5,angular,Gitter
20283,NA,angular,Gitter
20284,1,angular,Gitter
20287,650,angular,Gitter
20304,4,angular,Gitter
20360,601,angular,Gitter
20366,4407,angular,Gitter
20390,10,angular,Gitter
20421,10784,angular,Gitter
20432,0,angular,Gitter
20472,NA,angular,Gitter
20474,1,angular,Gitter
20487,NA,angular,Gitter
20525,1,angular,Gitter
20529,48,angular,Gitter
20541,389,angular,Gitter
20543,10,angular,Gitter
20554,NA,angular,Gitter
20575,158,angular,Gitter
20583,490,angular,Gitter
20598,117,angular,Gitter
20621,NA,angular,Gitter
20713,11225,angular,Gitter
20752,80,angular,Gitter
20755,NA,angular,Gitter
20756,NA,angular,Gitter
20770,45,angular,Gitter
20823,NA,angular,Gitter
20839,1,angular,Gitter
20859,1,angular,Gitter
20875,NA,angular,Gitter
20927,NA,angular,Gitter
20931,NA,angular,Gitter
20991,149,angular,Gitter
21009,131,angular,Gitter
21030,311,angular,Gitter
21059,61,angular,Gitter
21083,6825,angular,Gitter
21115,NA,angular,Gitter
21131,298,angular,Gitter
21136,NA,angular,Gitter
21173,37,angular,Gitter
21175,2,angular,Gitter
21177,2,angular,Gitter
21212,6,angular,Gitter
21225,34,angular,Gitter
21268,NA,angular,Gitter
21356,53,angular,Gitter
21361,NA,angular,Gitter
21369,20,angular,Gitter
21415,NA,angular,Gitter
21444,0,angular,Gitter
21486,2,angular,Gitter
21522,9509,angular,Gitter
21526,0,angular,Gitter
21542,2555,angular,Gitter
21560,NA,angular,Gitter
21571,1315,angular,Gitter
21573,2137,angular,Gitter
21575,170,angular,Gitter
21585,2003,angular,Gitter
21621,520,angular,Gitter
21625,132,angular,Gitter
21636,1656,angular,Gitter
21664,107,angular,Gitter
21666,2,angular,Gitter
21667,5,angular,Gitter
21670,269,angular,Gitter
21682,NA,angular,Gitter
21706,NA,angular,Gitter
21707,8404,angular,Gitter
21711,NA,angular,Gitter
21723,NA,angular,Gitter
21734,NA,angular,Gitter
21800,13677,angular,Gitter
21839,1,angular,Gitter
21852,15336,angular,Gitter
21866,NA,angular,Gitter
21880,241,angular,Gitter
21889,9,angular,Gitter
21959,11,angular,Gitter
21962,NA,angular,Gitter
22026,29,angular,Gitter
22114,NA,angular,Gitter
22122,241,angular,Gitter
22148,NA,angular,Gitter
22203,219,angular,Gitter
22210,1320,angular,Gitter
22362,824,angular,Gitter
22422,NA,angular,Gitter
22426,26,angular,Gitter
22466,1698,angular,Gitter
22486,NA,angular,Gitter
22505,7,angular,Gitter
22632,21,angular,Gitter
22730,1,angular,Gitter
22797,NA,angular,Gitter
22853,NA,angular,Gitter
22903,NA,angular,Gitter
22955,2,angular,Gitter
23038,NA,angular,Gitter
23079,110,angular,Gitter
23092,939,angular,Gitter
23103,91,angular,Gitter
23284,NA,angular,Gitter
23317,NA,angular,Gitter
23337,255,angular,Gitter
23412,11,angular,Gitter
23428,7551,angular,Gitter
23438,102,angular,Gitter
23462,18,angular,Gitter
23464,0,angular,Gitter
23532,890,angular,Gitter
23607,NA,angular,Gitter
23609,NA,angular,Gitter
23622,10,angular,Gitter
23636,3530,angular,Gitter
23651,NA,angular,Gitter
23713,1614,angular,Gitter
23715,NA,angular,Gitter
23732,169,angular,Gitter
23746,35,angular,Gitter
23748,0,angular,Gitter
23770,10,angular,Gitter
23779,1888,angular,Gitter
23854,800,angular,Gitter
23862,4,angular,Gitter
23931,3,angular,Gitter
23933,204,angular,Gitter
23962,4037,angular,Gitter
23970,1,angular,Gitter
24023,4,angular,Gitter
24109,3282,angular,Gitter
24136,99,angular,Gitter
24140,NA,angular,Gitter
24182,NA,angular,Gitter
24187,NA,angular,Gitter
24200,366,angular,Gitter
24215,8,angular,Gitter
24259,NA,angular,Gitter
24283,1430,angular,Gitter
24306,1,angular,Gitter
24339,511,angular,Gitter
24369,NA,angular,Gitter
24466,NA,angular,Gitter
24469,0,angular,Gitter
24504,8,angular,Gitter
24521,1370,angular,Gitter
24533,NA,angular,Gitter
24547,NA,angular,Gitter
24559,NA,angular,Gitter
24571,NA,angular,Gitter
24769,NA,angular,Gitter
24775,NA,angular,Gitter
24933,6,angular,Gitter
24978,NA,angular,Gitter
25017,44,angular,Gitter
25056,NA,angular,Gitter
25141,36,angular,Gitter
25191,207,angular,Gitter
25200,684,angular,Gitter
25202,1,angular,Gitter
25207,18,angular,Gitter
25487,NA,angular,Gitter
25521,NA,angular,Gitter
25525,NA,angular,Gitter
25579,1,angular,Gitter
25696,2,angular,Gitter
25711,7,angular,Gitter
25763,1,angular,Gitter
25784,NA,angular,Gitter
25863,5,angular,Gitter
25903,NA,angular,Gitter
26103,NA,angular,Gitter
26158,71,angular,Gitter
26658,13,angular,Gitter
26665,NA,angular,Gitter
26714,545,angular,Gitter
26744,NA,angular,Gitter
26783,0,angular,Gitter
27049,1,angular,Gitter
27093,2,angular,Gitter
27231,91,angular,Gitter
27267,3966,angular,Gitter
27396,10,angular,Gitter
27555,NA,angular,Gitter
27683,72,angular,Gitter
27794,513,angular,Gitter
27828,19,angular,Gitter
27858,3654,angular,Gitter
27991,NA,angular,Gitter
28072,0,angular,Gitter
28114,NA,angular,Gitter
28236,NA,angular,Gitter
28244,118,angular,Gitter
28265,NA,angular,Gitter
28266,3096,angular,Gitter
28339,0,angular,Gitter
28363,12,angular,Gitter
28365,5,angular,Gitter
28819,3,angular,Gitter
29114,1151,angular,Gitter
29163,3,angular,Gitter
29179,3,angular,Gitter
29205,NA,angular,Gitter
29365,4,angular,Gitter
29450,1,angular,Gitter
29624,889,angular,Gitter
29893,575,angular,Gitter
29905,3255,angular,Gitter
29943,5,angular,Gitter
29982,NA,angular,Gitter
29997,0,angular,Gitter
29998,0,angular,Gitter
29999,0,angular,Gitter
30000,133,angular,Gitter
30080,4402,angular,Gitter
30081,9,angular,Gitter
30164,426,angular,Gitter
30340,164,angular,Gitter
30404,0,angular,Gitter
30759,8,angular,Gitter
30862,NA,angular,Gitter
30972,415,angular,Gitter
31354,2680,angular,Gitter
31360,11,angular,Gitter
31397,193,angular,Gitter
31441,36,angular,Gitter
31721,106,angular,Gitter
31730,NA,angular,Gitter
31886,72,angular,Gitter
31931,0,angular,Gitter
32191,71,angular,Gitter
32507,NA,angular,Gitter
32730,1,angular,Gitter
32978,NA,angular,Gitter
33000,NA,angular,Gitter
33173,NA,angular,Gitter
33209,NA,angular,Gitter
33492,34,angular,Gitter
943,43966,appium,Gitter
1678,178,appium,Gitter
1702,670,appium,Gitter
1902,24052,appium,Gitter
2003,441,appium,Gitter
2805,72,appium,Gitter
3154,1446,appium,Gitter
3158,17491,appium,Gitter
3180,2458,appium,Gitter
3218,26158,appium,Gitter
3377,30789,appium,Gitter
3784,15,appium,Gitter
3956,251,appium,Gitter
3974,4221,appium,Gitter
4075,NA,appium,Gitter
4199,57,appium,Gitter
4395,9439,appium,Gitter
4450,11561,appium,Gitter
4479,2192,appium,Gitter
4597,20669,appium,Gitter
4649,31416,appium,Gitter
4695,10540,appium,Gitter
4701,1996,appium,Gitter
4707,71,appium,Gitter
4772,20311,appium,Gitter
4824,14617,appium,Gitter
4825,984,appium,Gitter
4833,6,appium,Gitter
4844,800,appium,Gitter
4910,14354,appium,Gitter
4962,420,appium,Gitter
5054,908,appium,Gitter
5144,217,appium,Gitter
5170,383,appium,Gitter
5199,22315,appium,Gitter
5209,18659,appium,Gitter
5218,80,appium,Gitter
5244,2,appium,Gitter
5285,84,appium,Gitter
5556,4526,appium,Gitter
5560,4680,appium,Gitter
5617,6831,appium,Gitter
5925,1905,appium,Gitter
6001,29,appium,Gitter
6144,44,appium,Gitter
6186,8,appium,Gitter
6220,6098,appium,Gitter
6320,158,appium,Gitter
6332,31,appium,Gitter
6334,261,appium,Gitter
6377,1,appium,Gitter
6461,65,appium,Gitter
6699,2100,appium,Gitter
6762,6462,appium,Gitter
6845,0,appium,Gitter
6864,2091,appium,Gitter
6893,190,appium,Gitter
6955,104,appium,Gitter
7022,483,appium,Gitter
7063,6557,appium,Gitter
7066,361,appium,Gitter
7179,1,appium,Gitter
7192,6149,appium,Gitter
7235,5768,appium,Gitter
7273,1684,appium,Gitter
7283,45,appium,Gitter
7304,3371,appium,Gitter
7328,2512,appium,Gitter
7348,179,appium,Gitter
7353,145,appium,Gitter
7377,15999,appium,Gitter
7510,1114,appium,Gitter
7551,0,appium,Gitter
7564,1,appium,Gitter
7587,2399,appium,Gitter
7655,15,appium,Gitter
7688,99,appium,Gitter
7829,3720,appium,Gitter
7977,4221,appium,Gitter
8084,2866,appium,Gitter
8454,934,appium,Gitter
8847,367,appium,Gitter
8868,28,appium,Gitter
8908,420,appium,Gitter
8958,7104,appium,Gitter
9020,589,appium,Gitter
9259,18,appium,Gitter
9340,14911,appium,Gitter
9422,27,appium,Gitter
9518,4510,appium,Gitter
9544,269,appium,Gitter
9560,8161,appium,Gitter
9565,1,appium,Gitter
9624,18,appium,Gitter
9659,12,appium,Gitter
9733,NA,appium,Gitter
9746,2,appium,Gitter
9939,1,appium,Gitter
10309,4169,appium,Gitter
10413,163,appium,Gitter
10418,36,appium,Gitter
10457,165,appium,Gitter
10609,316,appium,Gitter
11300,223,appium,Gitter
11507,843,appium,Gitter
11628,598,appium,Gitter
12991,0,appium,Gitter
13045,141,appium,Gitter
13072,1465,appium,Gitter
13075,70,appium,Gitter
13213,NA,appium,Gitter
59,7348,aws,Gitter
88,1696,aws,Gitter
208,826,aws,Gitter
377,NA,aws,Gitter
409,31910,aws,Gitter
567,21,aws,Gitter
682,29573,aws,Gitter
820,NA,aws,Gitter
970,329,aws,Gitter
984,167,aws,Gitter
1226,399,aws,Gitter
1611,NA,aws,Gitter
1710,6913,aws,Gitter
1769,12895,aws,Gitter
2467,NA,aws,Gitter
2560,9,aws,Gitter
7501,1,bootstrap,Gitter
10740,2287,bootstrap,Gitter
14401,0,bootstrap,Gitter
14839,9362,bootstrap,Gitter
17258,1,bootstrap,Gitter
18510,7325,bootstrap,Gitter
20939,1904,bootstrap,Gitter
22937,869,bootstrap,Gitter
24157,489,bootstrap,Gitter
28772,5,bootstrap,Gitter
26,2535,corefx,Gitter
312,NA,corefx,Gitter
449,15860,corefx,Gitter
489,2658,corefx,Gitter
525,355,corefx,Gitter
701,8148,corefx,Gitter
770,2108,corefx,Gitter
875,7934,corefx,Gitter
921,17584,corefx,Gitter
937,17584,corefx,Gitter
957,1482,corefx,Gitter
973,17776,corefx,Gitter
1017,2653,corefx,Gitter
1039,8030,corefx,Gitter
1063,11767,corefx,Gitter
1168,NA,corefx,Gitter
1272,NA,corefx,Gitter
1308,186,corefx,Gitter
1342,1043,corefx,Gitter
1553,134,corefx,Gitter
1563,6216,corefx,Gitter
1576,1456,corefx,Gitter
1621,1746,corefx,Gitter
1690,15098,corefx,Gitter
1856,1002,corefx,Gitter
2022,11691,corefx,Gitter
2056,2089,corefx,Gitter
2089,21284,corefx,Gitter
2177,599,corefx,Gitter
2252,17160,corefx,Gitter
2482,1513,corefx,Gitter
2576,22094,corefx,Gitter
2584,1323,corefx,Gitter
2645,854,corefx,Gitter
2800,28382,corefx,Gitter
2949,7976,corefx,Gitter
3778,9468,corefx,Gitter
4476,4275,corefx,Gitter
4491,NA,corefx,Gitter
4690,8831,corefx,Gitter
5118,242,corefx,Gitter
6073,NA,corefx,Gitter
6546,13494,corefx,Gitter
6702,18249,corefx,Gitter
6742,4256,corefx,Gitter
6746,1109,corefx,Gitter
6883,65,corefx,Gitter
7518,27,corefx,Gitter
8146,6055,corefx,Gitter
9003,10154,corefx,Gitter
10366,468,corefx,Gitter
10451,108,corefx,Gitter
10666,1059,corefx,Gitter
11100,4366,corefx,Gitter
13439,20850,corefx,Gitter
13892,5043,corefx,Gitter
14164,5,corefx,Gitter
14507,201,corefx,Gitter
15111,NA,corefx,Gitter
15708,NA,corefx,Gitter
15957,485,corefx,Gitter
16010,14588,corefx,Gitter
17045,4,corefx,Gitter
17278,599,corefx,Gitter
17619,2134,corefx,Gitter
18454,2,corefx,Gitter
18791,214,corefx,Gitter
19152,14598,corefx,Gitter
20414,11362,corefx,Gitter
21281,841,corefx,Gitter
22101,6032,corefx,Gitter
22381,1317,corefx,Gitter
22485,421,corefx,Gitter
23426,NA,corefx,Gitter
23443,4204,corefx,Gitter
23448,NA,corefx,Gitter
23827,142,corefx,Gitter
24026,NA,corefx,Gitter
24093,13021,corefx,Gitter
24153,430,corefx,Gitter
24174,4033,corefx,Gitter
24475,NA,corefx,Gitter
25128,NA,corefx,Gitter
25739,2594,corefx,Gitter
25785,1027,corefx,Gitter
25945,NA,corefx,Gitter
26579,NA,corefx,Gitter
26745,9575,corefx,Gitter
26975,2735,corefx,Gitter
27047,NA,corefx,Gitter
27091,NA,corefx,Gitter
27445,215,corefx,Gitter
27971,2284,corefx,Gitter
28114,435,corefx,Gitter
28123,26,corefx,Gitter
28270,4748,corefx,Gitter
28356,NA,corefx,Gitter
29026,NA,corefx,Gitter
29232,NA,corefx,Gitter
29243,1024,corefx,Gitter
29396,50,corefx,Gitter
30503,NA,corefx,Gitter
30506,483,corefx,Gitter
30730,461,corefx,Gitter
30913,4870,corefx,Gitter
30968,7199,corefx,Gitter
31002,NA,corefx,Gitter
31099,5319,corefx,Gitter
31181,NA,corefx,Gitter
31425,NA,corefx,Gitter
31475,49,corefx,Gitter
31651,3,corefx,Gitter
31787,NA,corefx,Gitter
31953,1286,corefx,Gitter
32000,NA,corefx,Gitter
32036,191,corefx,Gitter
32078,4,corefx,Gitter
32588,3428,corefx,Gitter
32640,816,corefx,Gitter
32730,3668,corefx,Gitter
32902,25,corefx,Gitter
32907,181,corefx,Gitter
32931,NA,corefx,Gitter
33146,NA,corefx,Gitter
33170,NA,corefx,Gitter
33336,2016,corefx,Gitter
33702,1240,corefx,Gitter
34179,NA,corefx,Gitter
34193,NA,corefx,Gitter
34258,1469,corefx,Gitter
34857,NA,corefx,Gitter
35050,5026,corefx,Gitter
35694,20,corefx,Gitter
36538,2506,corefx,Gitter
36899,1,corefx,Gitter
36948,15,corefx,Gitter
37044,3392,corefx,Gitter
39689,NA,corefx,Gitter
40351,NA,corefx,Gitter
40374,313,corefx,Gitter
40405,21,corefx,Gitter
40618,83,corefx,Gitter
40846,NA,corefx,Gitter
40947,NA,corefx,Gitter
41346,13,corefx,Gitter
36,40,deeplearning,Gitter
89,184,deeplearning,Gitter
143,1340,deeplearning,Gitter
219,772,deeplearning,Gitter
243,571,deeplearning,Gitter
259,96,deeplearning,Gitter
263,7844,deeplearning,Gitter
270,9,deeplearning,Gitter
297,7935,deeplearning,Gitter
304,3,deeplearning,Gitter
307,1,deeplearning,Gitter
309,2,deeplearning,Gitter
318,362,deeplearning,Gitter
335,11,deeplearning,Gitter
337,17,deeplearning,Gitter
346,13,deeplearning,Gitter
349,6,deeplearning,Gitter
350,242,deeplearning,Gitter
352,0,deeplearning,Gitter
355,50,deeplearning,Gitter
372,138,deeplearning,Gitter
373,28,deeplearning,Gitter
392,353,deeplearning,Gitter
400,81,deeplearning,Gitter
433,6,deeplearning,Gitter
452,51,deeplearning,Gitter
466,1256,deeplearning,Gitter
468,65,deeplearning,Gitter
487,2,deeplearning,Gitter
536,112,deeplearning,Gitter
546,17,deeplearning,Gitter
586,13,deeplearning,Gitter
640,120,deeplearning,Gitter
648,30,deeplearning,Gitter
650,13456,deeplearning,Gitter
651,6719,deeplearning,Gitter
681,2,deeplearning,Gitter
